"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","86","06/GET /todos/{id} (404) @api","chromium","Mon Nov 03 19:19:41 UTC 2025","passed","Mon Nov 03 19:19:41 UTC 2025","POST /challenger @api","","",""
"","76","08/HEAD /todos (200) @api","chromium","Mon Nov 03 19:19:41 UTC 2025","passed","Mon Nov 03 19:19:41 UTC 2025","POST /challenger @api","","",""
"","75","28/GET /todos (200) XML pref @api","chromium","Mon Nov 03 19:19:43 UTC 2025","passed","Mon Nov 03 19:19:43 UTC 2025","POST /challenger @api","","",""
"","81","04/GET /todo (404) not plural @api","chromium","Mon Nov 03 19:19:41 UTC 2025","passed","Mon Nov 03 19:19:41 UTC 2025","POST /challenger @api","","",""
"","5871","Пользователь редактирует статью @ui","chromium","Mon Nov 03 19:19:49 UTC 2025","passed","Mon Nov 03 19:19:55 UTC 2025","Тесты статей @ui","","",""
"","73","26/GET /todos (200) JSON @api","chromium","Mon Nov 03 19:19:43 UTC 2025","passed","Mon Nov 03 19:19:43 UTC 2025","POST /challenger @api","","",""
"","73","30/GET /todos (406) @api","chromium","Mon Nov 03 19:19:43 UTC 2025","passed","Mon Nov 03 19:19:43 UTC 2025","POST /challenger @api","","",""
"","78","19/PUT /todos/{id} full (200) @api","chromium","Mon Nov 03 19:19:42 UTC 2025","passed","Mon Nov 03 19:19:42 UTC 2025","POST /challenger @api","","",""
"","74","29/GET /todos (200) no accept @api","chromium","Mon Nov 03 19:19:43 UTC 2025","passed","Mon Nov 03 19:19:43 UTC 2025","POST /challenger @api","","",""
"","74","24/OPTIONS /todos (200) @api","chromium","Mon Nov 03 19:19:43 UTC 2025","passed","Mon Nov 03 19:19:43 UTC 2025","POST /challenger @api","","",""
"","149","02/GET /challenges (200) @api","chromium","Mon Nov 03 19:19:40 UTC 2025","passed","Mon Nov 03 19:19:40 UTC 2025","POST /challenger @api","","",""
"","82","03/GET /todos (200) @api","chromium","Mon Nov 03 19:19:41 UTC 2025","passed","Mon Nov 03 19:19:41 UTC 2025","POST /challenger @api","","",""
"","4910","Пользователь создает статью @ui","chromium","Mon Nov 03 19:19:43 UTC 2025","passed","Mon Nov 03 19:19:48 UTC 2025","Тесты статей @ui","","",""
"","77","10/POST /todos (400) doneStatus @api","chromium","Mon Nov 03 19:19:41 UTC 2025","passed","Mon Nov 03 19:19:42 UTC 2025","POST /challenger @api","","",""
"","89","13/POST /todos (201) max out content @api","chromium","Mon Nov 03 19:19:42 UTC 2025","passed","Mon Nov 03 19:19:42 UTC 2025","POST /challenger @api","","",""
"","76","16/PUT /todos/{id} (400) @api","chromium","Mon Nov 03 19:19:42 UTC 2025","passed","Mon Nov 03 19:19:42 UTC 2025","POST /challenger @api","","",""
"","74","27/GET /todos (200) ANY @api","chromium","Mon Nov 03 19:19:43 UTC 2025","passed","Mon Nov 03 19:19:43 UTC 2025","POST /challenger @api","","",""
"","74","18/POST /todos/{id} (404) @api","chromium","Mon Nov 03 19:19:42 UTC 2025","passed","Mon Nov 03 19:19:42 UTC 2025","POST /challenger @api","","",""
"","3874","Пользователь выходит из аккаунта @ui","chromium","Mon Nov 03 19:20:00 UTC 2025","passed","Mon Nov 03 19:20:03 UTC 2025","Тест выхода из аккаунта @ui","","",""
"","77","14/POST /todos (413) content too long @api","chromium","Mon Nov 03 19:19:42 UTC 2025","passed","Mon Nov 03 19:19:42 UTC 2025","POST /challenger @api","","",""
"","74","22/PUT /todos/{id} no amend id (400) @api","chromium","Mon Nov 03 19:19:43 UTC 2025","passed","Mon Nov 03 19:19:43 UTC 2025","POST /challenger @api","","",""
