"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4339","Пользователь создает статью @ui","chromium","Mon Nov 03 16:16:25 UTC 2025","passed","Mon Nov 03 16:16:29 UTC 2025","Тесты статей @ui","","",""
"","15","19/PUT /todos/{id} full (200) @api","chromium","Mon Nov 03 16:16:13 UTC 2025","passed","Mon Nov 03 16:16:13 UTC 2025","POST /challenger @api","","",""
"","21","04/GET /todo (404) not plural @api","chromium","Mon Nov 03 16:16:13 UTC 2025","passed","Mon Nov 03 16:16:13 UTC 2025","POST /challenger @api","","",""
"","22","21/PUT /todos/{id} no title (400) @api","chromium","Mon Nov 03 16:16:13 UTC 2025","passed","Mon Nov 03 16:16:13 UTC 2025","POST /challenger @api","","",""
"","18","05/GET /todos/{id} (200) @api","chromium","Mon Nov 03 16:16:13 UTC 2025","passed","Mon Nov 03 16:16:13 UTC 2025","POST /challenger @api","","",""
"","3428","Пользователь ищет статьи по тегу @ui","chromium","Mon Nov 03 16:16:42 UTC 2025","passed","Mon Nov 03 16:16:46 UTC 2025","Тест поиска по тегам @ui","","",""
"","14","22/PUT /todos/{id} no amend id (400) @api","chromium","Mon Nov 03 16:16:13 UTC 2025","passed","Mon Nov 03 16:16:13 UTC 2025","POST /challenger @api","","",""
"","14","26/GET /todos (200) JSON @api","chromium","Mon Nov 03 16:16:13 UTC 2025","passed","Mon Nov 03 16:16:13 UTC 2025","POST /challenger @api","","",""
"","14","28/GET /todos (200) XML pref @api","chromium","Mon Nov 03 16:16:13 UTC 2025","passed","Mon Nov 03 16:16:13 UTC 2025","POST /challenger @api","","",""
"","16","12/POST /todos (400) description too long @api","chromium","Mon Nov 03 16:16:13 UTC 2025","passed","Mon Nov 03 16:16:13 UTC 2025","POST /challenger @api","","",""
"","20","03/GET /todos (200) @api","chromium","Mon Nov 03 16:16:13 UTC 2025","passed","Mon Nov 03 16:16:13 UTC 2025","POST /challenger @api","","",""
"","26","06/GET /todos/{id} (404) @api","chromium","Mon Nov 03 16:16:13 UTC 2025","passed","Mon Nov 03 16:16:13 UTC 2025","POST /challenger @api","","",""
"","15","24/OPTIONS /todos (200) @api","chromium","Mon Nov 03 16:16:13 UTC 2025","passed","Mon Nov 03 16:16:13 UTC 2025","POST /challenger @api","","",""
"","15","08/HEAD /todos (200) @api","chromium","Mon Nov 03 16:16:13 UTC 2025","passed","Mon Nov 03 16:16:13 UTC 2025","POST /challenger @api","","",""
"","3186","Пользователь выходит из аккаунта @ui","chromium","Mon Nov 03 16:16:39 UTC 2025","passed","Mon Nov 03 16:16:42 UTC 2025","Тест выхода из аккаунта @ui","","",""
"","14","18/POST /todos/{id} (404) @api","chromium","Mon Nov 03 16:16:13 UTC 2025","passed","Mon Nov 03 16:16:13 UTC 2025","POST /challenger @api","","",""
"","18","14/POST /todos (413) content too long @api","chromium","Mon Nov 03 16:16:13 UTC 2025","passed","Mon Nov 03 16:16:13 UTC 2025","POST /challenger @api","","",""
"","14","27/GET /todos (200) ANY @api","chromium","Mon Nov 03 16:16:13 UTC 2025","passed","Mon Nov 03 16:16:13 UTC 2025","POST /challenger @api","","",""
"","16","17/POST /todos/{id} (200) @api","chromium","Mon Nov 03 16:16:13 UTC 2025","passed","Mon Nov 03 16:16:13 UTC 2025","POST /challenger @api","","",""
"","14","29/GET /todos (200) no accept @api","chromium","Mon Nov 03 16:16:13 UTC 2025","passed","Mon Nov 03 16:16:13 UTC 2025","POST /challenger @api","","",""
"","26","13/POST /todos (201) max out content @api","chromium","Mon Nov 03 16:16:13 UTC 2025","passed","Mon Nov 03 16:16:13 UTC 2025","POST /challenger @api","","",""
"","12","23/DELETE /todos/{id} (200) @api","chromium","Mon Nov 03 16:16:13 UTC 2025","passed","Mon Nov 03 16:16:13 UTC 2025","POST /challenger @api","","",""
"","16","16/PUT /todos/{id} (400) @api","chromium","Mon Nov 03 16:16:13 UTC 2025","passed","Mon Nov 03 16:16:13 UTC 2025","POST /challenger @api","","",""
"","4247","Пользователь лайкает статью @ui","chromium","Mon Nov 03 16:16:35 UTC 2025","passed","Mon Nov 03 16:16:39 UTC 2025","Тесты статей @ui","","",""
"","16","20/PUT /todos/{id} partial (200) @api","chromium","Mon Nov 03 16:16:13 UTC 2025","passed","Mon Nov 03 16:16:13 UTC 2025","POST /challenger @api","","",""
"","14","25/GET /todos (200) XML @api","chromium","Mon Nov 03 16:16:13 UTC 2025","passed","Mon Nov 03 16:16:13 UTC 2025","POST /challenger @api","","",""
"","13","30/GET /todos (406) @api","chromium","Mon Nov 03 16:16:13 UTC 2025","passed","Mon Nov 03 16:16:13 UTC 2025","POST /challenger @api","","",""
"","5219","Пользователь редактирует статью @ui","chromium","Mon Nov 03 16:16:30 UTC 2025","passed","Mon Nov 03 16:16:35 UTC 2025","Тесты статей @ui","","",""
"","15","11/POST /todos (400) title too long @api","chromium","Mon Nov 03 16:16:13 UTC 2025","passed","Mon Nov 03 16:16:13 UTC 2025","POST /challenger @api","","",""
"","48","09/POST /todos (201) @api","chromium","Mon Nov 03 16:16:13 UTC 2025","passed","Mon Nov 03 16:16:13 UTC 2025","POST /challenger @api","","",""
"","27","07/GET /todos (200) ?filter @api","chromium","Mon Nov 03 16:16:13 UTC 2025","passed","Mon Nov 03 16:16:13 UTC 2025","POST /challenger @api","","",""
"","17","10/POST /todos (400) doneStatus @api","chromium","Mon Nov 03 16:16:13 UTC 2025","passed","Mon Nov 03 16:16:13 UTC 2025","POST /challenger @api","","",""
"","31","02/GET /challenges (200) @api","chromium","Mon Nov 03 16:16:12 UTC 2025","passed","Mon Nov 03 16:16:13 UTC 2025","POST /challenger @api","","",""
"","16","15/POST /todos (400) extra @api","chromium","Mon Nov 03 16:16:13 UTC 2025","passed","Mon Nov 03 16:16:13 UTC 2025","POST /challenger @api","","",""
